circRNA,miRNA
hsa_circ_0006459,hsa-miR-133b
hsa_circ_0000320,hsa-miR-421
hsa_circ_0000267,hsa-miR-503-5p
hsa_circ_0000147,hsa-miR-767-5p
hsa_circ_0002483,hsa-miR-182-5p
hsa_circ_0006117,hsa-miR-636
hsa_circ_0060467,hsa-miR-361-3p
hsa_circ_0084003,hsa-miR-381-3p
hsa_circ_0063526,hsa-miR-877-3p
hsa_circ_0001038,hsa-miR-337-3p
hsa_circ_0046600,hsa-miR-640
hsa_circ_0051079,hsa-miR-26a-5p
hsa_circ_0091702,hsa-miR-142-3p
hsa_circ_0001386,hsa-miR-296-5p
hsa_circ_0000654,hsa-miR-149-5p
hsa_circ_0137439,hsa-miR-142-5p
hsa_circ_0003855,hsa-miR-145-5p
hsa_circ_0000515,hsa-miR-326
hsa_circ_0000013,hsa-miR-22-3p
hsa_circ_0060180,hsa-miR-134-5p
hsa_circ_0001495,hsa-miR-449a
hsa_circ_0002623,hsa-miR-1184
hsa_circ_0000043,hsa-miR-615-5p
hsa_circ_0000043,hsa-miR-6753-5p
hsa_circ_0001178,hsa-miR-587
hsa_circ_0005100,hsa-miR-1182
hsa_circ_0030018,hsa-miR-599
hsa_circ_0006404,hsa-miR-29a-3p
hsa_circ_0084927,hsa-miR-93-5p
hsa_circ_0001725,hsa-miR-150-5p
hsa_circ_0004798,hsa-miR-130a-3p
hsa_circ_0076979,hsa-miR-17-5p
hsa_circ_0075341,hsa-miR-149-5p
hsa_circ_0001361,hsa-miR-491-5p
hsa_circ_0058514,hsa-miR-370-3p
hsa_circ_0008450,hsa-miR-214-3p
hsa_circ_0092306,hsa-miR-197-3p
hsa_circ_0017252,hsa-miR-296-3p
hsa_circ_0082846,hsa-miR-1265
hsa_circ_0001546,hsa-miR-421
hsa_circ_0001387,hsa-miR-1182
hsa_circ_0000080,hsa-miR-194-5p
hsa_circ_0023919,hsa-miR-1265
hsa_circ_0067835,hsa-miR-1236-3p
hsa_circ_0013549,hsa-miR-302e
hsa_circ_0001821,hsa-miR-4663
hsa_circ_0001681,hsa-miR-27a-3p
hsa_circ_0044516,hsa-miR-29a-3p
hsa_circ_0021977,hsa-miR-10b-5p
hsa_circ_0001946,hsa-miR-7-5p
hsa_circ_0051470,hsa-miR-182-5p
hsa_circ_0020732,hsa-miR-665
hsa_circ_0002185,hsa-miR-526b-5p
hsa_circ_0008975,hsa-miR-150-5p
hsa_circ_0053277,hsa-miR-2467-3p
hsa_circ_0001451,hsa-miR-197-3p
hsa_circ_0003949,hsa-miR-145-5p
hsa_circ_0003949,hsa-miR-330-5p
hsa_circ_0006404,hsa-miR-138-5p
hsa_circ_0006404,hsa-miR-432-5p
hsa_circ_0039569,hsa-miR-34a-5p
hsa_circ_0074027,hsa-miR-379-5p
hsa_circ_0014130,hsa-miR-661
hsa_circ_0006835,hsa-miR-1306-3p
hsa_circ_0088227,hsa-miR-384
hsa_circ_0019456,hsa-miR-665
hsa_circ_0008549,hsa-miR-136-5p
hsa_circ_0001839,hsa-miR-548p
hsa_circ_0098619,hsa-miR-421
hsa_circ_0076631,hsa-miR-214-3p
hsa_circ_0092012,hsa-miR-486-3p
hsa_circ_0133159,hsa-miR-1261
hsa_circ_0006772,hsa-miR-762
hsa_circ_0007142,hsa-miR-103a-2-5p
hsa_circ_0008450,hsa-miR-577
hsa_circ_0038632,hsa-miR-296-5p
hsa_circ_0068515,hsa-miR-873-3p
hsa_circ_0058124,hsa-miR-218-5p
hsa_circ_0001955,hsa-miR-597-5p
hsa_circ_0089548,hsa-miR-637
hsa_circ_0030586,hsa-miR-1182
hsa_circ_0039411,hsa-miR-1179
hsa_circ_0039411,hsa-miR-1205
hsa_circ_0001543,hsa-miR-27a-3p
hsa_circ_0011780,hsa-miR-544a
hsa_circ_0137008,hsa-miR-338-5p
hsa_circ_0061140,hsa-miR-149-5p
hsa_circ_0008285,hsa-miR-1275
hsa_circ_0001568,hsa-miR-486-3p
hsa_circ_0008717,hsa-miR-340-5p
hsa_circ_0008717,hsa-miR-452-5p
hsa_circ_0009362,hsa-miR-141-5p
hsa_circ_0008225,hsa-miR-890
hsa_circ_0014130,hsa-miR-376c-3p
hsa_circ_0004812,hsa-miR-1287-5p
hsa_circ_0038467,hsa-miR-338-3p
hsa_circ_0058063,hsa-miR-486-3p
hsa_circ_0014130,hsa-miR-671-5p
hsa_circ_0019340,hsa-miR-542-3p
hsa_circ_0024093,hsa-miR-21-5p
hsa_circ_0007843,hsa-miR-518c-5p
hsa_circ_0000326,hsa-miR-338-3p
hsa_circ_0001313,hsa-miR-618
hsa_circ_0041795,hsa-miR-646
hsa_circ_0005320,hsa-miR-637
hsa_circ_0090956,hsa-miR-139-3p
hsa_circ_0007534,hsa-miR-613
hsa_circ_0031288,hsa-miR-139-3p
hsa_circ_0004846,hsa-miR-138-5p
hsa_circ_0072387,hsa-miR-503-5p
hsa_circ_0087862,hsa-miR-1253
hsa_circ_0000615,hsa-miR-1224-3p
hsa_circ_0019421,hsa-miR-101-3p
hsa_circ_0000260,hsa-miR-4720-3p
hsa_circ_0000284,hsa-miR-193a-5p
hsa_circ_0002570,hsa-miR-1243
hsa_circ_0033074,hsa-miR-944
hsa_circ_0000448,hsa-miR-330-3p
hsa_circ_0000372,hsa-miR-485-5p
hsa_circ_0089378,hsa-miR-130a-3p
hsa_circ_0083357,hsa-miR-130a-3p
hsa_circ_0082824,hsa-miR-130a-3p
hsa_circ_0068942,hsa-miR-130a-3p
hsa_circ_0057576,hsa-miR-130a-3p
hsa_circ_0054537,hsa-miR-130a-3p
hsa_circ_0051172,hsa-miR-130a-3p
hsa_circ_0032970,hsa-miR-130a-3p
hsa_circ_0006323,hsa-miR-130a-3p
hsa_circ_0003204,hsa-miR-98-5p
hsa_circ_0006872,hsa-miR-145-5p
hsa_circ_0132246,hsa-miR-433-3p
hsa_circ_0001955,hsa-miR-145-5p
hsa_circ_0008309,hsa-miR-515-5p
hsa_circ_0000673,hsa-miR-548b-3p
hsa_circ_0060144,hsa-miR-616-3p
hsa_circ_0060144,hsa-miR-629-3p
hsa_circ_0060144,hsa-miR-643
hsa_circ_0008274,hsa-miR-526b-5p
hsa_circ_0139402,hsa-miR-885-3p
hsa_circ_0001714,hsa-miR-766-5p
hsa_circ_0004458,hsa-miR-637
hsa_circ_0004370,hsa-miR-665
hsa_circ_0000657,hsa-miR-99a-5p
hsa_circ_0043469,hsa-miR-514a-5p
hsa_circ_0030605,hsa-miR-663a
hsa_circ_0040060,hsa-miR-182-5p
hsa_circ_0005875,hsa-miR-145-5p
hsa_circ_0069767,hsa-miR-636
hsa_circ_0030998,hsa-miR-558
hsa_circ_0006916,hsa-miR-599
hsa_circ_0003288,hsa-miR-4491
hsa_circ_0071820,hsa-miR-330-5p
hsa_circ_0067835,hsa-miR-324-5p
hsa_circ_0031250,hsa-miR-873-5p
hsa_circ_0005224,hsa-miR-107
hsa_circ_0034803,hsa-miR-142-5p
hsa_circ_0043278,hsa-miR-638
hsa_circ_0000234,hsa-miR-142-3p
hsa_circ_0007364,hsa-miR-101-5p
hsa_circ_0092516,hsa-miR-337-3p
hsa_circ_0060450,hsa-miR-199a-5p
